,coal,lignite,oil,gas
2005-01-01,6.055358943160092,4.036905962106728,31.270979667282802,22.918736842105258
2005-02-01,6.0463479923518175,4.030898661567878,32.54062846580406,23.079909393737502
2005-03-01,5.848107074569792,3.8987380497131943,37.901367837338256,22.983205862758158
2005-04-01,5.902172779419435,3.9347818529462897,37.901367837338256,23.821303131245834
2005-05-01,5.857118025378065,3.904745350252043,36.161478743068386,24.30482078614257
2005-06-01,5.965249435077353,3.976832956718235,41.47519408502772,24.59493137908061
2005-07-01,5.956238484269078,3.970825656179385,44.484731977818846,25.78760826115922
2005-08-01,5.767008517295325,3.8446723448635503,49.09308687615526,26.20665689540306
2005-09-01,5.748986615678778,3.8326577437858513,48.38772643253234,27.141457694870084
2005-10-01,6.0463479923518175,4.030898661567878,47.16510166358594,29.526811459027307
2005-11-01,6.731180253780638,4.487453502520426,45.519260628465794,30.300439706862086
2005-12-01,6.62304884408135,4.415365896054234,45.98950092421441,30.945129913391067
2006-01-01,6.478873631148968,4.319249087432645,48.10558225508317,33.1370766155896
2006-02-01,6.650081696506172,4.433387797670782,47.16510166358594,33.36271818787475
2006-03-01,6.857333565096472,4.571555710064315,48.4347504621072,33.781766822118584
2006-04-01,6.794256909438555,4.52950460629237,52.66691312384472,34.52316055962691
2006-05-01,6.514917434382062,4.343278289588042,51.444288354898326,34.87774017321785
2006-06-01,6.532939335998611,4.355292890665741,51.58536044362291,35.07114723517654
2006-07-01,6.893377368329569,4.595584912219713,55.112162661737514,35.84477548301132
2006-08-01,7.01051972883713,4.673679819224753,55.44133086876155,35.68360293137908
2006-09-01,7.01051972883713,4.673679819224753,49.14011090573012,36.07041705529647
2006-10-01,7.244804449852253,4.829869633234836,45.80140480591496,36.263824117255155
2006-11-01,7.028541630453677,4.685694420302452,44.71985212569315,36.13488607594936
2006-12-01,6.776235007822008,4.517490005214672,45.049020332717184,35.651368421052624
2007-01-01,6.92041022075439,4.6136068138362605,40.86388170055452,34.716567621585604
