Line,0
14701,0
4511,34
14783,34
5274,18
14716,27
14708,12
14597,1
14607,47
14699,19
14695,47
14598,3
14988,2
14709,48
14697,38
14704,17
14688,48
14696,38
14683,10
14693,33
14729,21
14592,33
14728,21
14593,33
14757,34
14596,34
14714,44
14715,44
14602,10
14605,10
14604,10
14760,39
14707,40
14706,10
14610,27
14718,42
14671,51
514,6
3035,6
14591,8
4506,45
14580,45
14599,41
14705,41
14756,9
14600,41
14759,39
14763,41
14601,10
14674,20
14776,20
14770,21
14628,21
14630,21
14731,36
14590,22
14771,36
14773,4
14777,6
14690,22
14751,22
14710,25
14767,50
14762,23
14765,30
14755,5
14622,5
14711,25
14672,29
14758,15
14753,29
14624,28
14595,28
14623,28
14627,13
3054,14
14625,28
14768,27
14837,15
14774,30
14748,29
5254,26
14631,37
14659,46
14656,46
14637,32
14657,46
14651,32
14652,32
14658,46
14754,31
14725,49
14727,35
14698,51
14606,11
14726,35
14724,49
14723,49
15003,47
2223,11
8527,11
2226,12
14626,34
14694,34
14629,21
14594,9
14613,36
14611,49
14782,34
14703,16
13350,18
4518,18
14747,20
14772,27
14749,6
15007,6
3058,24
14764,24
8742,20
5232,20
3658,20
4582,49
4495,22
14712,25
14692,33
14761,23
14608,25
2185,22
14589,22
5262,7
14750,6
14621,26
2238,27
4552,13
4553,13
14700,1
4529,43
4554,13
3662,4
14669,3
8425,7
8423,7
14752,29
4565,42
14609,25
