,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
2980,Opole,Hard Coal,Steam Turbine,PP,PL,3071.893939268497,,1993.0,1993.0,2038.0,50.7518,17.882,,0.0,0.0,0.0,{'19W0000000001292'},"{'BEYONDCOAL': {'BEYOND-PL-16'}, 'ENTSOE': {'19W0000000001292'}, 'GEM': {'G107651', 'G107653', 'G107650', 'G107652', 'G107654', 'G107649'}, 'GEO': {'GEO-42462'}}",4451
2981,Laziska,Hard Coal,Steam Turbine,CHP,PL,1064.8371848304664,,1960.0,1960.0,2020.0,50.1337,18.8465,,0.0,0.0,0.0,"{'19W000000000116B', '19W0000000001195'}","{'BEYONDCOAL': {'BEYOND-PL-107'}, 'ENTSOE': {'19W0000000001195', '19W000000000116B'}, 'GEM': {'G106201', 'G106197', 'G106199', 'G106202', 'G106200', 'G106198'}, 'GEO': {'GEO-40600'}}",4480
2982,Lagisza,Hard Coal,Steam Turbine,CHP,PL,645.355869594222,,1963.0,1963.0,2020.0,50.3489,19.1445,,0.0,0.0,0.0,{'19W000000000111L'},"{'BEYONDCOAL': {'BEYOND-PL-5'}, 'ENTSOE': {'19W000000000111L'}, 'GEM': {'G106102', 'G106095', 'G106096', 'G106100', 'G106101', 'G106099', 'G106098'}, 'GEO': {'GEO-40598', 'GEO-40599'}}",4483
2983,Ew Wloclawek,Hydro,Run-Of-River,Store,PL,168.0,,1969.0,1969.0,2069.0,52.6547,19.1333,,0.0,0.0,0.0,{'19W000000000004M'},"{'ENTSOE': {'19W000000000004M'}, 'GEM': {'G603217'}, 'JRC': {'JRC-H301'}, 'GEO': {'GEO-42469'}}",5600
2984,Bedzin 2,Hard Coal,Steam Turbine,CHP,PL,75.5988304381803,,1975.0,1975.0,2020.0,50.302,19.1371,,0.0,0.0,0.0,{nan},"{'BEYONDCOAL': {'BEYOND-PL-4'}, 'GEM': {'G100691'}, 'GEO': {'GEO-40610'}, 'GPD': {'WRI1061513'}}",4483
2985,Niedzica,Hydro,Pumped Storage,Store,PL,92.0,,1997.0,1997.0,2097.0,49.4182,20.3228,6.521739130434782,0.0,0.0,0.0,{nan},"{'GEM': {'G603213'}, 'JRC': {'JRC-H603'}, 'GEO': {'GEO-42476'}, 'GPD': {'WRI1061624'}}",4531
2986,Bielkowo,Hydro,Reservoir,Store,PL,7.10828025477707,,1923.0,1923.0,2023.0,54.2696,18.51,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1878'}, 'GEO': {'GEO-42480'}, 'GPD': {'WRI1061573'}}",5591
2987,Tresna 2,Hydro,Reservoir,Store,PL,21.0,,1966.0,1966.0,2066.0,49.7473,19.2075,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1370'}, 'GEO': {'GEO-42475'}, 'GPD': {'WRI1061547'}}",4504
2988,Myczkowce 2,Hydro,Reservoir,Store,PL,8.09554140127388,,1961.0,1961.0,2061.0,49.4311,22.4084,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1835'}, 'GEO': {'GEO-42473'}, 'GPD': {'WRI1061541'}}",4546
2989,Debe,Hydro,Reservoir,Store,PL,20.0,,1963.0,1963.0,2063.0,52.4883,20.9236,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1411'}, 'GEO': {'GEO-42471'}, 'GPD': {'WRI1061532'}}",4510
2990,Lodz,Hard Coal,Steam Turbine,CHP,PL,181.62158044294537,,1958.0,1958.0,2025.0,51.7424,19.4476,,0.0,0.0,0.0,{nan},"{'BEYONDCOAL': {'BEYOND-PL-114'}, 'GEM': {'G112567'}, 'GEO': {'GEO-42495'}}",4453
2991,Ec Torun,Natural Gas,CCGT,CHP,PL,100.6,,2017.0,2017.0,2057.0,53.0475,18.6932,,0.0,0.0,0.0,{'19W000000000293Q'},"{'ENTSOE': {'19W000000000293Q'}, 'GEM': {'L400579'}, 'GPD': {'WRI1061497'}}",5599
2992,Pulawy,Hard Coal,Steam Turbine,PP,PL,120.0,,2022.0,2022.0,2067.0,51.4164,21.9693,,0.0,0.0,0.0,{'19W000000000212F'},"{'BEYONDCOAL': {'BEYOND-PL-256'}, 'ENTSOE': {'19W000000000212F'}, 'GEM': {'G113571'}}",4527
2993,Katowice 2,Hard Coal,Steam Turbine,PP,PL,124.46148913602852,,1999.0,1999.0,2044.0,50.2853,19.0539,,0.0,0.0,0.0,{'19W000000000076Y'},"{'BEYONDCOAL': {'BEYOND-PL-76'}, 'ENTSOE': {'19W000000000076Y'}, 'GEM': {'G105620'}}",4488
2994,Gdynia,Hard Coal,Steam Turbine,PP,PL,97.72531739569648,,1980.0,1980.0,2025.0,54.5533,18.4808,,0.0,0.0,0.0,{'19W000000000061A'},"{'BEYONDCOAL': {'BEYOND-PL-46'}, 'ENTSOE': {'19W000000000061A'}, 'GEM': {'G102970', 'G102971'}}",5591
2995,Czechnica,Hard Coal,Steam Turbine,PP,PL,121.69567826633902,,1955.0,1955.0,2023.0,51.0381,17.1503,,0.0,0.0,0.0,{'19W000000000040I'},"{'BEYONDCOAL': {'BEYOND-PL-180'}, 'ENTSOE': {'19W000000000040I'}, 'GEM': {'G109348', 'G109350', 'G109349'}}",4449
2996,Zielona Gora,Natural Gas,CCGT,CHP,PL,188.0,,2004.0,2004.0,2044.0,51.9514,15.4879,,0.0,0.0,0.0,{'19W000000000230D'},"{'ENTSOE': {'19W000000000230D'}, 'GEM': {'L400582'}, 'GEO': {'GEO-42486'}}",4622
2997,Siedlce,Natural Gas,CCGT,CHP,PL,36.0,,2002.0,2002.0,2042.0,52.1572,22.3061,,0.0,0.0,0.0,{nan},"{'GEM': {'L400578'}, 'GPD': {'WRI1061499'}}",4525
2998,Plock,Natural Gas,CCGT,CHP,PL,630.0,,2018.0,2018.0,2058.0,52.588,19.678,,0.0,0.0,0.0,{'19W000000000283T'},"{'ENTSOE': {'19W000000000283T'}, 'GEM': {'L406377'}}",5615
2999,Nowa 2,Hard Coal,Steam Turbine,PP,PL,155.0,,1992.0,1992.0,2037.0,50.347756,19.278159,,0.0,0.0,0.0,{'19W000000000239W'},"{'ENTSOE': {'19W000000000239W'}, 'GEM': {'G111769', 'G111770'}}",4485
3000,Gorzow,Natural Gas,CCGT,CHP,PL,224.5,,1999.0,1999.0,2039.0,52.7504,15.2712,,0.0,0.0,0.0,"{'19W000000000274U', '19W000000000060C'}","{'ENTSOE': {'19W000000000060C', '19W000000000274U'}, 'GEM': {'L103226'}}",5728
3001,Ec Nowa Sarzyna,Natural Gas,CCGT,CHP,PL,128.9,,2000.0,2000.0,2040.0,50.3172,22.3237,,0.0,0.0,0.0,{'19W0000000000571'},"{'ENTSOE': {'19W0000000000571'}, 'GEM': {'L400810'}}",4540
3002,Ec Rzeszow,Natural Gas,CCGT,CHP,PL,101.0,,2003.0,2003.0,2043.0,50.0646,22.0294,,0.0,0.0,0.0,{'19W000000000169R'},"{'ENTSOE': {'19W000000000169R'}, 'GEM': {'L400576'}}",4541
3003,Ec Wloclawek,Natural Gas,CCGT,CHP,PL,485.0,,2017.0,2017.0,2057.0,52.7074,18.9589,,0.0,0.0,0.0,{'19W000000000256W'},"{'ENTSOE': {'19W000000000256W'}, 'GEM': {'L400812'}}",5600
3004,Ec Wrotkow,Natural Gas,CCGT,PP,PL,231.0,,2002.0,2002.0,2042.0,51.2161,22.5583,,0.0,0.0,0.0,{'19W0000000001098'},"{'ENTSOE': {'19W0000000001098'}, 'GEM': {'L400813'}}",4394
3005,Czestochowa,Hard Coal,Steam Turbine,PP,PL,59.00396522004315,,2010.0,2010.0,2055.0,50.7943,19.1425,,0.0,0.0,0.0,{nan},"{'BEYONDCOAL': {'BEYOND-PL-33'}, 'GEM': {'G101868'}}",4463
3006,Brzeg Dolny Waly Slaskie Brzeg Dolny Waly Slaskie Brzeg Dolny Waly Slaskie,Hydro,Run-Of-River,PP,PL,6.62552178589347,,1958.0,1958.0,2058.0,51.2605,16.7656,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1909'}, 'GEO': {'GEO-42481'}}",4449
3007,Czchow,Hydro,Run-Of-River,PP,PL,5.40858921297426,,1954.0,1954.0,2054.0,49.81,20.680556,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1968'}, 'GEO': {'GEO-42467'}}",4532
3008,Grodek,Hydro,Run-Of-River,PP,PL,2.36625778067624,,1924.0,1924.0,2024.0,53.4999,18.3736,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H2167'}, 'GEO': {'GEO-42478'}}",5597
3009,Koronowo,Hydro,Reservoir,Store,PL,26.0,,1961.0,2004.0,2104.0,53.2753,17.9527,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1237'}, 'GEO': {'GEO-42479'}}",5594
3010,Roznow 2,Hydro,Reservoir,Store,PL,50.0,,1942.0,2000.0,2100.0,49.7614,20.6631,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H855'}, 'GEO': {'GEO-42465'}}",4532
3011,Zur 2,Hydro,Reservoir,Store,PL,7.89808917197452,,1929.0,1929.0,2029.0,53.5613,18.354,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1864'}, 'GEO': {'GEO-42477'}}",5597
3012,Bielsko Polnoc Ec Chp Coal,Oil,Steam Turbine,CHP,PL,50.948452249435114,,1997.0,1997.0,2037.0,49.873,19.029,,0.0,0.0,0.0,{nan},"{'GEO': {'GEO-40605'}, 'GPD': {'WRI1061515'}}",4492
3013,Jaworzno 3,Hard Coal,,PP,PL,184.3873913126349,,1998.0,1998.0,2043.0,50.2122,19.2289,,0.0,0.0,0.0,{nan},{'BEYONDCOAL': {'BEYOND-PL-69'}},4485
3014,Lodz,Hard Coal,,PP,PL,198.21644566108247,,1977.0,1977.0,2025.0,51.7463,19.5382,,0.0,0.0,0.0,{nan},{'BEYONDCOAL': {'BEYOND-PL-115'}},4455
3015,Ostroleka 2,Hard Coal,,PP,PL,0.0,,1969.9148936170213,1969.9148936170213,2020.0,53.1036,21.6125,,0.0,0.0,0.0,{nan},{'BEYONDCOAL': {'BEYOND-PL-255'}},5617
3016,Patnow 2,Lignite,,PP,PL,553.2839260463988,,1967.0,1967.0,2024.0,52.3055,18.2317,,0.0,0.0,0.0,{nan},{'BEYONDCOAL': {'BEYOND-PL-90'}},4445
3017,Zabrze,Hard Coal,,PP,PL,68.2233347856749,,1976.0,1976.0,2021.0,50.2992,18.8123,,0.0,0.0,0.0,{nan},{'BEYONDCOAL': {'BEYOND-PL-237'}},4474
3018,Emsland,Nuclear,Steam Turbine,PP,DE,1336.0,0.33,1988.0,1988.0,2023.0,52.4716,7.3204,,0.0,0.0,0.0,{'11WD7KKE-1K--KW5'},"{'ENTSOE': {'11WD7KKE-1K--KW5'}, 'GEM': {'G500045'}, 'OPSD': {'BNA0607'}, 'WIKIPEDIA': {'WIKIPEDIA-18'}, 'GEO': {'GEO-3071'}, 'GPD': {'WRI1005659'}}",4723
3019,Isar,Nuclear,Steam Turbine,PP,DE,1410.0,0.33,1979.0,1988.0,2023.0,48.6044,12.2927,,0.0,0.0,0.0,{'11WD2ISKW000299Q'},"{'ENTSOE': {'11WD2ISKW000299Q'}, 'GEM': {'G500031'}, 'OPSD': {'BNA0263'}, 'WIKIPEDIA': {'WIKIPEDIA-32'}, 'GEO': {'GEO-3688'}, 'GPD': {'WRI1005849'}}",3381
3020,Kernkraftwerk Neckarwestheim,Nuclear,Steam Turbine,PP,DE,1320.0,0.33,1976.0,1989.0,2023.0,49.0408,9.1759,,0.0,0.0,0.0,{'11WD4GKNK1S----S'},"{'ENTSOE': {'11WD4GKNK1S----S'}, 'GEM': {'G500046'}, 'OPSD': {'BNA0686'}, 'WIKIPEDIA': {'WIKIPEDIA-41'}, 'GEO': {'GEO-4453'}, 'GPD': {'WRI1005974'}}",4931
3021,Neurath,Lignite,Steam Turbine,PP,DE,4079.546814715447,0.3379982783357245,1972.0,1976.0,2038.0,51.0372,6.5992,,0.0,0.0,0.0,{'11WD7NEUR-B-KW-B'},"{'BEYONDCOAL': {'BEYOND-DE-107'}, 'ENTSOE': {'11WD7NEUR-B-KW-B'}, 'GEM': {'G107369', 'G107372', 'G107371', 'G107368', 'G107370', 'G107367', 'G107366'}, 'OPSD': {'BNA0699', 'BNA0696', 'BNA0700', 'BNA0698', 'BNA0697'}, 'GEO': {'GEO-44209', 'GEO-44210'}}",4706
3022,Lippendorf,Lignite,Steam Turbine,PP,DE,1722.5572897577886,0.3988,1969.0,2000.0,2035.0,51.1832,12.3717,,0.0,0.0,0.0,{'11WD8LIPD1L----P'},"{'BEYONDCOAL': {'BEYOND-DE-28'}, 'ENTSOE': {'11WD8LIPD1L----P'}, 'GEM': {'G114656', 'G106337', 'G106338', 'G114657'}, 'OPSD': {'BNA0115', 'BNA0116'}, 'GEO': {'GEO-44197'}}",4559
3023,Jaenschwalde,Lignite,Steam Turbine,PP,DE,2960.069004348234,0.384,1981.0,1996.0,2028.0,51.8335,14.4577,,0.0,0.0,0.0,{'11WD8JAEN1L----Z'},"{'BEYONDCOAL': {'BEYOND-DE-186'}, 'ENTSOE': {'11WD8JAEN1L----Z'}, 'GEM': {'G104941'}, 'OPSD': {'BNA0789', 'BNA0787', 'BNA0788', 'BNA0786', 'BNA0790', 'BNA0785'}, 'GEO': {'GEO-44195'}}",4620
3024,Buschhaus,Lignite,Steam Turbine,PP,DE,352.0,0.3639999999999999,1985.0,2002.0,2020.0,52.1724,10.9768,,0.0,0.0,0.0,{'11WD2BUSC0002637'},"{'BEYONDCOAL': {'BEYOND-DE-126'}, 'ENTSOE': {'11WD2BUSC0002637'}, 'GEM': {'G101134'}, 'OPSD': {'BNA0439'}, 'GEO': {'GEO-43185'}}",4898
3025,Boxberg,Lignite,Steam Turbine,PP,DE,2380.965161753003,0.4016168108776267,1979.0,2012.0,2038.0,51.4188,14.5743,,0.0,0.0,0.0,{'11WD8BOXB1L----J'},"{'BEYONDCOAL': {'BEYOND-DE-32'}, 'ENTSOE': {'11WD8BOXB1L----J'}, 'GEM': {'G101036', 'G101032', 'G101033', 'G101034'}, 'OPSD': {'BNA0122', 'BNA1404', 'BNA0123', 'BNA0124'}, 'GEO': {'GEO-44196'}}",4627
3026,Waldeck,Hydro,Pumped Storage,Store,DE,480.0,0.75,1931.0,2009.0,2109.0,51.1678,9.047,6.22741935483871,0.0,0.0,0.0,{'11WD2W2--0002757'},"{'ENTSOE': {'11WD2W2--0002757'}, 'GEM': {'G601761', 'G601762'}, 'OPSD': {'BNA0228', 'BNA0229'}, 'JRC': {'JRC-H357', 'JRC-H74'}, 'GEO': {'GEO-44356', 'GEO-44355'}}",4879
3027,Psw Roenk,Hydro,Pumped Storage,Store,DE,140.0,0.75,1969.0,2003.0,2103.0,51.2247,7.9932,4.27536231884058,0.0,0.0,0.0,{'11WD7GARE5X-PSWB'},"{'ENTSOE': {'11WD7GARE5X-PSWB'}, 'GEM': {'G601757'}, 'OPSD': {'BNA0268'}, 'JRC': {'JRC-H372'}, 'GEO': {'GEO-44354'}}",4772
3028,Psw Markersbach,Hydro,Pumped Storage,Store,DE,960.0,0.75,1979.0,1979.0,2079.0,50.5176,12.8804,3.816494450822809,0.0,0.0,0.0,{'11WD8MARK1H----7'},"{'ENTSOE': {'11WD8MARK1H----7'}, 'GEM': {'G601753'}, 'OPSD': {'BNA0652'}, 'JRC': {'JRC-H13'}, 'GEO': {'GEO-44337'}}",4595
